dataset,lambda_max_stability,loglik_max_stability,stability_max_stability,lambda_max_loglik,loglik_max_loglik,stability_max_loglik,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
penbased-class4,0.04155455334718875,-0.15385672882280238,1,1e-6,-0.02227994253802336,-6.253908693154564e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
penbased-class7,0.08648423275731722,-0.31154873018967283,1,8.015006961565414e-5,-0.05993660632293434,0.14970346442427718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
phoneme-class0,0.09794696670695396,-0.5505174211158638,0.975378248484747,NA,NA,NA,0.9296967148531184,0.03410450776185289,0.3863777737823889,NA,0.2708091674809175,NA,0.8776831976313841,NA,0.865099925980755,NA,0.19615099925980756,0.2462740443476228,0.1752726776610152,0.09085862324204293,0.2874345529763392,0.17450037009622502,0.37957430372065903,6.565988181221273e-4,0.004433643694666455,0.980517180025652,0.14439055033121562,NA,0.22557364914877864,NA,0.21095484826054778,NA,9.25240562546262e-4,9.25240562546262e-4,1,0.8731822577241406,0.29146223026212636,0.8668148147539274,0.4532336132852677,0.6840631504677063,0.1279163305613353
phoneme-class1,0.09794696670695396,-0.5517174171412826,0.9519907608142902,NA,NA,NA,0.9296967148531184,0.03410450776185289,0.3863777737823889,NA,0.2708091674809175,NA,0.8776831976313841,NA,0.865099925980755,NA,0.19615099925980756,0.2462740443476228,0.1752726776610152,0.09085862324204293,0.2874345529763392,0.19152479644707623,0.3935374283472134,6.565988181221273e-4,0.004433643694666455,0.980517180025652,0.14439055033121562,NA,0.22557364914877864,NA,0.21317542561065872,NA,9.25240562546262e-4,9.25240562546262e-4,1,0.8731822577241406,0.29146223026212636,0.8668148147539274,0.4532336132852677,0.6840631504677063,0.1279163305613353
pima-classtested_negative,0.1589282865622978,-0.5940281629144315,1,0.00768928372075831,-0.48930332790626974,0.33467640055549175,0.941686619121275,0.07013607469522974,0.3435590782814175,NA,0.2515956493264203,NA,0.9934895833333334,NA,0.9778645833333334,NA,0.4361979166666667,0.4541916059369013,0.09824326888359237,0.3020833333333333,0.4594604094843525,0.11458333333333333,0.3187260059055491,0.0018939393939393938,0.0032950689883605054,0.9893815782335069,0.14739166823170857,NA,0.2265625,NA,0.21614583333333337,NA,0.010416666666666666,0.0026041666666666665,0.25,0.9331343166407832,0.16724669384508295,0.8657920469361147,0.592175689309944,0.5688417348122644,0.15096819925526833
pima-classtested_positive,0.15037553212997382,-0.5913672652799424,1,0.00835452805838287,-0.4924432415039179,0.19872685685580604,0.941686619121275,0.07013607469522974,0.3435590782814175,NA,0.2515956493264203,NA,0.9934895833333334,NA,0.9778645833333334,NA,0.4361979166666667,0.4541916059369013,0.09824326888359237,0.3020833333333333,0.4594604094843525,0.13411458333333334,0.34099745917887625,0.0018939393939393938,0.0032950689883605054,0.9893815782335069,0.14739166823170857,NA,0.2265625,NA,0.1875,NA,0.010416666666666666,0.0026041666666666665,0.25,0.9331343166407832,0.16724669384508295,0.8657920469361147,0.592175689309944,0.5688417348122644,0.15096819925526833
post-operative-classA,4.126820845702952e-5,-1.3425241677840585,0.32082014380512613,NA,NA,NA,0.9904099237782442,0.010629546304430379,0.6239017823344568,NA,0,NA,0.9655172413793104,NA,0.9540229885057471,NA,0.6551724137931034,0.4661216293746414,0.280789763096596,0.3448275862068966,0.47806748105205266,0.034482758620689655,0.18352338815966712,0.012771392081736908,0.01504501392536642,0.9822962082177302,0.20864819811140412,NA,0.26436781609195403,NA,0.28735632183908044,NA,0.1724137931034483,0.11494252873563218,0.6666666666666666,0.8652817028791377,0.30633251286641305,0.8454958567228014,0.6711826762909494,0.5919442361737761,0.2279379640791316
post-operative-classS,2.2302232979659384e-4,-1.2596320403430648,0.2958556594920224,NA,NA,NA,0.9894430138970765,0.011009226384035009,0.6117168337272911,NA,0,NA,0.9655172413793104,NA,0.9540229885057471,NA,0.6551724137931034,0.47501434308663226,0.28184207578836296,0.367816091954023,0.4850064139766639,0.05747126436781609,0.23409011577637517,0.012771392081736908,0.01504501392536642,0.9825604439159731,0.20137809628914016,NA,0.25287356321839083,NA,0.29885057471264365,NA,0.1724137931034483,0.11494252873563218,0.6666666666666666,0.8497511372532974,0.3346534653465346,0.8441593156909917,0.6675827195778828,0.5903722102260935,0.22275701121840558
ring-class0,0.05256791122018422,-0.6346651252736026,0.4153028648113544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ring-class1,0.0532999408084409,-0.6372075870417978,0.43376738794568126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
saheart-class0,0.14831025143361043,-0.6293310236116707,0.7644105031907104,0.01213623798344241,-0.5344463552140731,0.4007699950322901,0.9446142944974132,0.04454318670040991,0.4239396998457969,NA,0.358953907604327,NA,0.9502164502164502,NA,0.9090909090909091,NA,0.5151515151515151,0.4660502754496475,0.09201140800713412,0.35714285714285715,0.4796768357439233,0.12554112554112554,0.3316906495896359,0.0028089887640449437,0.0034357299277503854,0.9895944603736812,0.1475194109850858,NA,0.26623376623376627,NA,0.22077922077922074,NA,0.01948051948051948,0.008658008658008658,0.4444444444444444,0.9307388109871576,0.17263107427827817,0.8645801053610165,0.4929330011551688,0.767080021073778,0.23116691254039293
saheart-class1,0.06292146109610344,-0.5676762072038857,0.7605109938636285,0.01318621401394748,-0.5398556540511521,0.38576165764018744,0.9446142944974132,0.04454318670040991,0.4239396998457969,NA,0.358953907604327,NA,0.9502164502164502,NA,0.9090909090909091,NA,0.5151515151515151,0.4660502754496475,0.09201140800713412,0.35714285714285715,0.4796768357439233,0.10606060606060606,0.3082489567093945,0.0028089887640449437,0.0034357299277503854,0.9895944603736812,0.1475194109850858,NA,0.26623376623376627,NA,0.2142857142857143,NA,0.01948051948051948,0.008658008658008658,0.4444444444444444,0.9307388109871576,0.17263107427827817,0.8645801053610165,0.4929330011551688,0.767080021073778,0.23116691254039293
satimage-class1,0.00607832312829723,-0.06149967065719067,0.7824993157572141,3.2848573660300434e-4,-0.04284242769353732,0.3919653149166291,0.933263124959097,0.023285924434966777,0.027347983165969213,NA,2.1937254048947458e-8,NA,0.7383061383061382,NA,0.44584304584304585,NA,0.015850815850815853,0.25203045395750795,0.09038200920294506,0.008547008547008548,0.09206125271166772,0.009634809634809635,0.09769065018600631,0.0018050541516245488,0.013228933752460885,0.8975290409323043,0.01109360452180963,NA,0.01149961149961154,NA,0.004195804195804231,NA,0.005594405594405594,9.324009324009324e-4,0.16666666666666666,0.7920818014269212,0.43026129985667383,0.8690593556617803,0.3333773520778244,0.872816872224557,0.24938521813098796
satimage-class2,0.19287915080207785,-0.29818491280446313,0.9648453421566864,3.7720424934169976e-4,-0.03374657489458634,0.293765424606546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
satimage-class3,0.2688001021537606,-0.482580781023554,1,5.184593543892913e-4,-0.11765333704744432,0.3757846047308593,0.7922493139207073,0.17168188689323186,0.09442881642477419,NA,4.3275627905638634e-8,NA,0.45547785547785546,NA,0.3341103341103341,NA,0.06371406371406371,0.26341329746800984,0.13092280956298408,0.039160839160839164,0.1939925669430073,0.01756021756021756,0.1313565288719666,7.867820613690008e-4,0.012603705662937711,0.8591809916751642,0.03588443786060824,NA,0.04351204351204352,NA,0.021600621600621595,NA,0.005594405594405594,9.324009324009324e-4,0.16666666666666666,0.7434534293106065,0.500757220477136,0.8480918314925153,0.3785505405508309,0.8531488219164673,0.24657509701369873
